SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotalServices,AvgMonthlyCharges,ChargeEvolution,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2 Years,TenureGroup_2-3 Years,TenureGroup_3-4 Years,TenureGroup_4-5 Years,TenureGroup_5+ Years
0,1,0,1,0,1,29.85,29.85,0,3,29.85,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,34,1,0,56.95,1889.5,0,4,55.5735294117647,1.3764705882352999,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,0,0,2,1,1,53.85,108.15,1,4,54.075,-0.22500000000000142,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,45,0,0,42.3,1840.75,0,5,40.90555555555556,1.3944444444444386,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,2,1,1,70.7,151.65,1,2,75.825,-5.125,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,0,0,8,1,1,99.65,820.5,1,6,102.5625,-2.9124999999999943,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
0,0,1,22,1,1,89.1,1949.4,0,5,88.60909090909091,0.49090909090908497,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
0,0,0,10,0,0,29.75,301.9,0,3,30.189999999999998,-0.4399999999999977,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,0,28,1,1,104.8,3046.05,1,7,108.78750000000001,-3.9875000000000114,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,0,1,62,1,0,56.15,3487.95,0,4,56.25725806451613,-0.10725806451613096,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,1,1,13,1,1,49.95,587.45,0,3,45.18846153846154,4.761538461538464,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0,0,0,16,1,0,18.95,326.8,0,7,20.425,-1.4750000000000014,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False
0,1,0,58,1,0,100.35,5681.1,0,6,97.95,2.3999999999999915,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False
0,0,0,49,1,1,103.7,5036.3,1,7,102.78163265306122,0.9183673469387799,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
0,0,0,25,1,1,105.5,2686.05,0,7,107.44200000000001,-1.9420000000000073,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False
0,1,1,69,1,0,113.25,7895.15,0,9,114.42246376811593,-1.1724637681159322,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True
0,0,0,52,1,0,20.65,1022.95,0,7,19.672115384615385,0.9778846153846139,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
0,0,1,71,1,0,106.7,7382.25,0,7,103.97535211267606,2.7246478873239397,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
0,1,1,10,1,0,55.2,528.35,1,4,52.835,2.365000000000002,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,21,1,1,90.05,1862.9,0,5,88.70952380952382,1.3404761904761813,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
1,0,0,1,0,1,39.65,39.65,1,4,39.65,0.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0,1,0,12,1,0,19.8,202.25,0,7,16.854166666666668,2.945833333333333,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
0,0,0,1,1,0,20.15,20.15,1,7,20.15,0.0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0,1,0,58,1,1,59.9,3505.1,0,5,60.432758620689654,-0.5327586206896555,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
0,1,1,49,1,0,59.6,2970.3,0,5,60.61836734693878,-1.0183673469387813,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,30,1,1,55.3,1530.6,0,4,51.019999999999996,4.280000000000001,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,1,1,47,1,1,99.35,4749.15,1,6,101.04574468085106,-1.695744680851064,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
0,1,1,1,0,0,30.2,30.2,1,3,30.2,0.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,1,0,72,1,1,90.25,6369.45,0,9,88.46458333333334,1.7854166666666629,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True
0,0,1,17,1,1,64.7,1093.1,1,4,64.3,0.4000000000000057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False
1,1,0,71,1,1,96.35,6766.95,0,7,95.30915492957746,1.0408450704225345,False,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True
1,1,0,2,1,1,95.5,181.65,0,5,90.825,4.674999999999997,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
